instance,seed,family,K,n,p_edge,graph_seed,outer,inner,L,budget_evals,readout_shots,J_star,evals_final_ID,evals_final_FD,bestS_final_ID,bestS_final_FD,mode_final_ID,mode_final_FD,bestS_auc_ID,bestS_auc_FD,mode_auc_ID,mode_auc_FD
15,16,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,74.40753176273444,1984.0,1953.0,0.9876929952981074,0.9220322497118965,0.9064299860224151,0.8167467537210896,0.9476212868600072,0.8855699602275717,0.8643182060240638,0.8020590380967533
16,17,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,54.74165968796112,1984.0,1953.0,0.9517955419552445,0.9191603883228886,0.9178322736091844,0.896709610327996,0.9350933597527742,0.919160388322843,0.8770189171063023,0.8345487872927742
17,18,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,70.72414061137832,1984.0,1953.0,0.9082618335785936,0.9076520304605645,0.8681465834379477,0.897041413918596,0.9041707561289816,0.8993330835400573,0.8537433530928689,0.8225870026304768
18,19,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,64.1711459910748,1984.0,1953.0,1.0,0.9446862325929313,0.8766763497668132,0.9293344059751482,0.9510786521787021,0.9080441171350537,0.880069871940684,0.8015002485964879
19,20,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,57.49656199614921,1984.0,1953.0,0.9722074422946515,0.9727872711950896,0.9268486977815878,0.9081580713656532,0.9587013224962764,0.9578353830824105,0.8907112485851292,0.8624642710425235
0,1,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,56.94143899243436,1984.0,1953.0,0.929760301609166,0.9289764654480227,0.8906043645405743,0.8884406341461771,0.9280063015039536,0.9233208757122309,0.8533006493727557,0.8347261940133793
1,2,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.288732128303145,1984.0,1953.0,0.9758675171329119,0.9974387803789585,0.8848379700904306,0.8497683569863588,0.9750029244966132,0.9929485612560279,0.9104979875093109,0.8816504165065053
2,3,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,59.157851984760114,1984.0,1953.0,0.8200966433433129,0.8197899678249605,0.8072022801350215,0.7677497644791003,0.8189896869688817,0.8182938949086358,0.7775061601547842,0.7604339151413917
3,4,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,64.88082522154653,1984.0,1953.0,0.9999931870489349,0.9970681916758543,0.9503283438651995,0.8571517558463281,0.9948931234518654,0.9844805152668373,0.9141128994228942,0.8149294133811372
4,5,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,65.59587230835035,1984.0,1953.0,0.920607543236797,1.0,0.8966550032408156,0.9462610905495422,0.8651292832244847,0.8950521097924911,0.8192216740233954,0.7958973457681713
