graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
ring,14,0.35,1,7,42,periodic,6,0.8,4.966666666666667,76.79652345726838,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8162429708925466,0.7883218636563258,0.027921107236220766,0.8790500005689047,0.8722632081600026,0.00678679240890212
ring,14,0.35,2,7,42,periodic,6,0.8,-1.6666666666666665,78.95288866283815,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.827769429612032,0.7472723234034734,0.08049710620855866,0.8881685063884717,0.8117111236091096,0.07645738277936209
ring,14,0.35,3,7,42,periodic,6,0.8,1.0333333333333332,81.39250742522712,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8182598012486869,0.8059674308974955,0.012292370351191462,0.8963047747891294,0.8859000398067517,0.010404734982377706
ring,14,0.5,1,7,42,periodic,6,0.8,-4.2,78.27351893933135,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8166238722068934,0.8069580414491172,0.009665830757776162,0.8660446492216562,0.8667408378748767,-0.0006961886532204087
ring,14,0.5,2,7,42,periodic,6,0.8,2.7666666666666666,77.32590554647847,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.817747569420667,0.7940190309614541,0.023728538459212856,0.8711823676543934,0.8710146165964757,0.00016775105791766443
ring,14,0.5,3,7,42,periodic,6,0.8,2.533333333333333,79.32575124868244,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.759713377666637,0.7676876472920784,-0.007974269625441344,0.8150956260797394,0.832491003745499,-0.017395377665759604
ring,14,0.65,1,7,56,periodic,6,0.8,0.9666666666666668,97.80027957646277,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8338028039628044,0.7951143122203724,0.03868849174243194,0.8951543985881272,0.8605998198122901,0.03455457877583712
ring,14,0.65,2,7,56,periodic,6,0.8,-4.6,101.34187165822203,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7753590814131617,0.7942419211104499,-0.018882839697288212,0.8265433088269161,0.856160218211916,-0.029616909384999945
ring,14,0.65,3,7,56,periodic,6,0.8,-4.7,98.24799928490472,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8007592040182379,0.798931703768769,0.001827500249468872,0.8528478514520851,0.8431356592962175,0.009712192155867605
ws,8,0.2,1,7,8,periodic,6,0.8,4.4,19.632158846319733,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8154969121556038,0.7766593648761968,0.038837547279407025,0.9421922862573585,0.9160180602514186,0.026174226005939882
